id, tile count, move count
869, 8, 69
870, 7, 57
871, 3, 9
872, 11, 104
873, 7, 39
874, 3, 9
875, 8, 78
876, 4, 9
877, 8, 65
878, 12, 186
879, 3, 10
880, 8, 96
881, 4, 16
882, 3, 9
883, 9, 88
884, 9, 78
885, 5, 37
886, 5, 23
887, 4, 21
888, 5, 16
889, 4, 15
890, 7, 43
891, 8, 70
892, 5, 21
893, 3, 4
894, 5, 20
895, 8, 63
896, 11, 116
897, 4, 11
898, 3, 8
899, 6, 43
900, 4, 18
901, 10, 99
902, 9, 85
903, 5, 18
904, 7, 37
905, 4, 6
906, 11, 108
907, 7, 36
908, 6, 25
909, 3, 6
910, 9, 81
911, 7, 2
912, 3, 9
913, 3, 9
914, 8, 57
915, 5, 24
916, 10, 100
917, 2, 1
918, 5, 28
919, 5, 21
920, 5, 19
921, 3, 9
922, 8, 73
923, 5, 24
924, 7, 59
925, 9, 82
926, 4, 11
927, 2, 3
928, 4, 19
929, 4, 16
930, 10, 99
931, 8, 49
932, 3, 9
933, 5, 30
934, 6, 52
935, 7, 53
936, 4, 9
937, 4, 17
938, 5, 7
939, 6, 52
940, 3, 3
941, 5, 19
942, 5, 13
943, 5, 24
944, 6, 27
945, 9, 86
946, 3, 8
947, 7, 33
948, 7, 50
949, 8, 69
950, 10, 100
951, 10, 63
952, 6, 34
953, 11, 83
954, 7, 47
955, 4, 13
956, 4, 13
957, 7, 42
958, 8, 53
959, 6, 27
960, 12, 167
961, 4, 16
962, 7, 44
963, 8, 69
964, 5, 19
965, 4, 17
966, 4, 14
967, 2, 2
968, 6, 23
969, 4, 13
970, 10, 115
971, 4, 10
972, 7, 55
973, 5, 7
974, 4, 10
975, 7, 62
976, 6, 32
977, 2, 2
978, 5, 19
979, 7, 3
980, 6, 41
981, 10, 86
982, 5, 21
983, 6, 36
984, 4, 14
985, 3, 9
986, 3, 9
987, 6, 23
988, 7, 38
989, 6, 36
990, 7, 36
991, 3, 10
992, 7, 53
993, 7, 37
994, 3, 8
995, 5, 23
996, 10, 133
997, 4, 9
998, 5, 23
999, 7, 54
1000, 3, 7
1001, 11, 102
1002, 2, 1
1003, 6, 33
1004, 5, 28
1005, 4, 14
1006, 2, 1
1007, 5, 21
1008, 5, 35
1009, 9, 47
1010, 9, 93
1011, 3, 8
1012, 12, 162
1013, 8, 62
1014, 9, 60
1015, 6, 44
1016, 6, 41
1017, 4, 5
1018, 5, 11
1019, 11, 129
1020, 5, 31
1021, 9, 87
1022, 5, 18
1023, 7, 61
1024, 10, 117
1025, 13, 123
1026, 7, 39
1027, 6, 28
1028, 7, 56
1029, 3, 4
1030, 8, 96
1031, 9, 84
1032, 3, 7
1033, 4, 2
1034, 9, 65
1035, 5, 15
1036, 6, 36
1037, 8, 87
1038, 10, 88
1039, 4, 2
1040, 5, 22
1041, 6, 47
1042, 7, 26
1043, 5, 24
1044, 4, 16
1045, 5, 30
1046, 4, 14
1047, 8, 80
1048, 6, 26
1049, 5, 26
1050, 3, 8
1051, 4, 21
1052, 9, 93
1053, 5, 16
1054, 2, 1
1055, 3, 9
1056, 7, 58
1057, 2, 2
1058, 8, 51
1059, 6, 39
1060, 8, 64
1061, 9, 80
1062, 3, 8
1063, 9, 74
1064, 8, 69
1065, 6, 52
1066, 8, 82
1067, 6, 38
1068, 5, 15
1069, 9, 103
1070, 4, 10
1071, 5, 24
1072, 5, 20
1073, 7, 41
1074, 3, 8
1075, 5, 9
1076, 8, 48
1077, 5, 31
1078, 8, 64
1079, 3, 3
1080, 4, 17
1081, 6, 25
1082, 10, 48
1083, 6, 33
1084, 2, 4
1085, 4, 15
1086, 5, 19
1087, 7, 54
1088, 10, 88
1089, 11, 111
1090, 6, 36
1091, 4, 18
1092, 8, 30
1093, 4, 10
1094, 6, 30
1095, 7, 53
1096, 5, 16
1097, 5, 14
1098, 6, 23
1099, 5, 21
1100, 4, 16
1101, 11, 155
1102, 8, 69
1103, 5, 23
1104, 2, 1
1105, 8, 56
1106, 6, 28
1107, 11, 104
1108, 7, 38
1109, 8, 27
1110, 6, 46
1111, 4, 12
1112, 6, 33
1113, 9, 69
1114, 4, 16
1115, 8, 66
1116, 6, 26
1117, 8, 61
1118, 4, 23
1119, 4, 13
1120, 6, 21
1121, 6, 32
1122, 9, 83
1123, 4, 17
1124, 5, 20
1125, 10, 76
1126, 7, 3
1127, 6, 51
1128, 9, 67
1129, 3, 6
1130, 8, 67
1131, 4, 9
1132, 6, 15
1133, 5, 31
1134, 3, 9
1135, 9, 72
1136, 8, 65
1137, 12, 143
1138, 7, 62
1139, 2, 2
1140, 3, 10
1141, 7, 53
1142, 4, 22
1143, 5, 20
1144, 5, 24
1145, 4, 11
1146, 8, 74
1147, 4, 19
1148, 5, 28
1149, 5, 19
1150, 4, 17
1151, 4, 7
1152, 5, 21
1153, 5, 19
1154, 7, 44
1155, 9, 71
1156, 5, 28
1157, 9, 94
1158, 6, 45
1159, 4, 15
1160, 7, 41
1161, 5, 30
1162, 6, 29
1163, 4, 10
1164, 10, 104
1165, 8, 30
1166, 5, 29
1167, 6, 42
1168, 4, 14
1169, 5, 24
1170, 7, 48
1171, 6, 36
1172, 7, 41
1173, 7, 25
1174, 4, 9
1175, 8, 61
1176, 7, 43
1177, 4, 22
1178, 6, 53
1179, 10, 84
1180, 6, 31
1181, 7, 45
1182, 11, 132
1183, 6, 17
1184, 9, 58
1185, 7, 71
1186, 5, 17
1187, 8, 87
1188, 6, 47
1189, 5, 13
1190, 7, 54
1191, 7, 56
1192, 8, 75
1193, 5, 23
1194, 5, 19
1195, 7, 27
1196, 8, 55
1197, 6, 37
1198, 3, 9
1199, 7, 56
1200, 5, 29
1201, 4, 16
1202, 7, 27
1203, 5, 31
1204, 5, 22
1205, 6, 22
1206, 2, 2
1207, 11, 138
1208, 5, 16
1209, 2, 2
1210, 6, 29
1211, 4, 13
1212, 4, 2
1213, 9, 72
